x,y,psi,v,cte,epsi,delta,a
-3.45322e-35,0,-3.8026e-36,0.1,0.744287,-0.00214534,-0.000688782,1
0.306603,-2.12644e-32,0.0175837,3.16603,0.744945,-0.019729,-0.153125,1
0.525599,2.29826e-32,0.043172,5.35599,0.745414,-0.0453174,-0.21931,1
0.32267,-2.22738e-33,0.0196052,3.3267,0.74387,-0.0209411,-0.162227,1
0.183994,2.22645e-33,0.00480024,1.93994,0.738567,-0.00321058,-0.0696581,1
0.160885,2.04656e-36,0.00330367,1.70885,0.733207,0.00123943,-0.0548268,1
0.185088,4.12696e-33,0.0047102,1.95088,0.727843,0.00241373,-0.0679476,1
0.243413,2.06003e-32,0.00943409,2.53413,0.723125,-0.000503397,-0.103483,1
0.32254,-6.58084e-33,0.0178627,3.3254,0.714222,-0.00589006,-0.147868,1
0.399619,1.61786e-33,0.0259307,4.09619,0.700325,-0.00894159,-0.173253,1
0.505976,8.86824e-33,0.0317978,5.15976,0.668985,-0.00363425,-0.167795,1
0.606745,-8.79179e-33,0.029754,6.16745,0.62667,0.0122266,-0.130934,1
0.718184,8.36999e-34,0.0210597,7.28184,0.567918,0.0377456,-0.0782937,1
0.854252,9.25073e-34,0.00626567,8.64252,0.481119,0.0727102,-0.0195836,1
0.966471,4.53471e-34,-0.0058387,9.76471,0.402046,0.0983168,0.0161302,1
1.09896,7.6539e-34,-0.0163825,11.0896,0.313436,0.116548,0.0398024,1
1.17675,5.53375e-34,-0.0208797,11.8675,0.252551,0.12066,0.0473752,1
1.32634,-2.37755e-36,-0.0228368,13.3634,0.141526,0.107028,0.0459717,1
1.44909,2.91042e-33,-0.021672,14.5909,0.10845,0.0957651,0.0399314,1
1.54652,-5.34256e-36,-0.0189116,15.5652,0.0877072,0.0813984,0.0326501,1
1.67303,1.43639e-34,-0.014497,16.8303,0.0746794,0.0621313,0.0231358,1
1.77915,1.2947e-35,-0.0101755,17.8915,0.0734502,0.0453202,0.0152705,1
1.902,2.40741e-35,-0.00535559,19.12,0.0786566,0.0277089,0.00751809,1
2.00393,-3.27607e-36,-0.00178786,20.1393,0.0870276,0.0153903,0.00238212,1
2.12423,-8.59363e-34,0.00200136,21.3423,0.100588,0.0030424,-0.00251556,1
2.22289,-9.0278e-36,0.00465021,22.3289,0.113441,-0.0050755,-0.00558556,1
2.34033,-6.31843e-35,0.00697427,23.5033,0.128079,-0.0117154,-0.00795668,1
2.43707,-5.60293e-36,0.00834153,24.4707,0.139282,-0.0152606,-0.00913879,1
2.55169,-6.90569e-39,0.00933573,25.6169,0.150456,-0.0174396,-0.00976861,1
2.64613,1.3056e-32,0.00970465,26.5613,0.157544,-0.0178812,-0.0097922,1
2.75819,-5.36853e-33,0.00969618,27.6819,0.163146,-0.0171774,-0.00938617,1
2.86886,-1.49213e-38,0.00932303,28.7886,0.165661,-0.0155867,-0.00867679,1
2.96005,-3.71004e-39,0.00883487,29.7005,0.165707,-0.013907,-0.00796917,1
3.06823,-3.91702e-37,0.00817358,30.7823,0.164009,-0.0118521,-0.00711273,1
3.17507,-4.93682e-37,0.00752363,31.8507,0.161034,-0.00999182,-0.00632681,1
3.2631,3.73306e-37,0.00707053,32.731,0.158242,-0.0087723,-0.00578539,1
3.36753,6.1604e-33,0.0122541,33.7753,0.181278,-0.0222491,-0.00971583,1
3.45357,1.02083e-35,0.0120677,34.6357,0.189692,-0.0208659,-0.00932967,1
3.55562,-1.08935e-33,0.0114081,35.6562,0.195123,-0.018351,-0.00856662,1
3.65641,5.68511e-32,0.0101383,36.6641,0.193743,-0.014671,-0.00740321,1
3.73946,-1.36052e-35,0.00882681,37.4946,0.188413,-0.0112624,-0.0063024,1
3.83799,2.90021e-31,0.0072019,38.4467,0.178577,-0.00735058,-0.00501019,0.667741
3.91917,-6.92432e-33,0.00598562,39.225,0.169001,-0.00463135,-0.00407781,0.333158
3.96703,2.25695e-36,0.00503168,39.6839,0.159568,-0.00266061,-0.00338655,0.135885
3.97376,-4.88374e-32,0.00439979,39.7485,0.150458,-0.00155793,-0.00295625,0.108142
3.95373,7.52316e-37,0.00431707,39.5564,0.145592,-0.00166694,-0.00291537,0.190721
3.92674,0,0.00462154,39.2976,0.143704,-0.00263895,-0.00314243,0.30196
3.90408,-1.20371e-35,0.00541143,39.0803,0.145485,-0.00470636,-0.00370088,0.395362
3.89797,-8.79127e-32,0.00620184,39.0217,0.113626,-0.00917439,-0.00424809,0.420526
3.90518,-6.6914e-32,0.00774991,39.0909,0.127854,-0.0124641,-0.00529867,0.390816
3.91591,-1.56482e-34,0.0090938,39.1937,0.141916,-0.0151901,-0.00620047,0.346594
3.92352,0,0.0103734,39.2667,0.157133,-0.017655,-0.00705924,0.315215
3.92633,0,0.0116766,39.2936,0.17553,-0.0199639,-0.00794038,0.303648
3.92473,4.70198e-37,0.0125129,39.2783,0.190162,-0.0212501,-0.00851257,0.310234
3.92131,2.40741e-34,0.0130619,39.2455,0.203268,-0.0218501,-0.00889381,0.32433
3.91776,7.58335e-33,0.0133205,39.2115,0.216165,-0.0216585,-0.00907808,0.338967
3.91634,-6.01853e-36,0.0132364,39.1979,0.22429,-0.0208503,-0.00902402,0.344786
3.91671,0,0.0129142,39.2014,0.22989,-0.019557,-0.00880352,0.343284
3.91824,-9.14817e-34,0.0122854,39.2161,0.233382,-0.0175607,-0.00837161,0.33697
3.91947,-1.85371e-33,0.0117374,39.2279,0.243352,-0.01533,-0.00799573,0.331934
3.9201,-6.94538e-33,0.0108222,39.234,0.240538,-0.0129874,-0.00737106,0.329307
3.92002,6.01853e-36,0.0100882,39.2331,0.236821,-0.0112126,-0.00687125,0.329672
3.91946,-3.49809e-31,0.00934442,39.2278,0.231666,-0.00951301,-0.00636557,0.331964
3.919,-1.43801e-31,0.00890023,39.2234,0.22757,-0.00857013,-0.00606369,0.333861
3.91877,-2.69209e-31,0.00864798,39.2211,0.2242,-0.00810869,-0.00589219,0.334825
3.91879,0,0.00861084,39.2214,0.221673,-0.00818489,-0.00586685,0.334717
3.91894,-4.81482e-35,0.0087882,39.2228,0.221126,-0.00871629,-0.00598746,0.334107
3.9191,-3.00927e-36,0.00913,39.2243,0.222153,-0.0095927,-0.00622008,0.333463
3.9192,0,0.00970118,39.2253,0.225288,-0.0109566,-0.00660904,0.333025
3.91921,0,0.0102665,39.2254,0.22938,-0.0122365,-0.00699417,0.332979
3.91917,6.01853e-35,0.0188429,39.225,0.292178,-0.0315992,-0.0128371,0.333151
3.91909,0,0.0189067,39.2242,0.310769,-0.0304573,-0.0128808,0.333466
3.91899,-4.69445e-34,0.0182519,39.2233,0.31952,-0.0280179,-0.012435,0.333882
3.91894,-6.01853e-36,0.0163459,39.2228,0.318576,-0.0227916,-0.0111366,0.334112
3.91896,6.01853e-36,0.0141401,39.223,0.309537,-0.0173066,-0.00963368,0.334038
3.91902,0,0.0116848,39.2236,0.294705,-0.0115398,-0.00796079,0.33378
3.91911,0,0.00879224,39.2244,0.272146,-0.00510671,-0.00598996,0.333432
3.91915,7.52316e-37,0.00664575,39.2249,0.251368,-0.000619426,-0.00452754,0.333234
3.91917,-3.76158e-37,0.00470911,39.225,0.227386,0.00305758,-0.00320816,0.333177
3.91915,3.31019e-35,0.00376176,39.2248,0.210194,0.00446872,-0.00256278,0.333257
3.91912,3.00927e-36,0.00346761,39.2246,0.197118,0.00435782,-0.00236239,0.333361
3.9191,-1.98612e-34,0.00395711,39.2243,0.187969,0.00234904,-0.0026959,0.333454
3.91909,1.20371e-35,0.019536,39.2242,0.15073,-0.0435597,-0.0133095,0.333428
3.91909,2.40741e-35,0.0206722,39.2243,0.189432,-0.0439688,-0.0140835,0.333407
