x,y,psi,v,cte,epsi,delta,a
5.19261e-07,1.8788e-37,2.28014e-15,0.0800065,0.744415,-0.00212934,-1.17243e-08,1
0.108162,-7.209e-38,6.54983e-07,1.43202,0.744297,-0.00202109,-1.61684e-05,1
0.220402,-5.38726e-40,5.18395e-06,2.83503,0.744168,-0.00256034,-6.27995e-05,1
0.314489,-6.93042e-37,1.47776e-05,4.01112,0.74424,-0.00298271,-0.000125461,1
0.42615,-2.45933e-40,3.64105e-05,5.40688,0.744455,-0.00370388,-0.000228126,1
0.518279,-4.49407e-39,6.53138e-05,6.55848,0.744868,-0.00445374,-0.000336475,1
0.627616,-3.07126e-37,0.000116065,7.9252,0.745624,-0.00553519,-0.000493764,1
0.735631,4.51031e-37,0.000187716,9.27539,0.746845,-0.00681264,-0.00068132,1
0.824642,-7.26957e-37,0.00026609,10.388,0.748407,-0.00801868,-0.000861537,1
0.91929,-4.72968e-38,0.000372643,11.5711,0.751222,-0.00960733,-0.00108231,1
1.0302,3.50768e-37,0.000531174,12.9575,0.754994,-0.0113205,-0.00137666,1
1.12779,-3.55704e-37,0.000688944,14.1774,0.693251,-0.0200403,-0.00163105,1
1.2212,8.35829e-39,0.00089927,15.345,0.70505,-0.0219635,-0.00196614,1
1.31217,4.08682e-36,0.00114163,16.4821,0.71641,-0.0235555,-0.00232299,1
1.41325,9.49065e-37,0.00146738,17.7456,0.732303,-0.0254925,-0.00277227,1
1.51119,-2.65909e-38,0.00184299,18.9698,0.750842,-0.0272483,-0.00325624,1
1.58086,-4.64566e-38,0.00215599,19.8407,0.768607,-0.0285223,-0.00364137,1
1.6789,-8.69104e-36,0.0026441,21.0662,0.791811,-0.0300436,-0.004205,1
1.77566,2.96034e-33,0.00320053,22.2758,0.81703,-0.0316699,-0.00481252,1
1.857,-3.09556e-34,0.00372879,23.2925,0.839768,-0.0331186,-0.00536127,1
1.94914,6.16997e-33,0.00440376,24.4443,0.869585,-0.0348099,-0.00603242,1
2.02535,3.17866e-34,0.00501936,25.3969,0.896456,-0.036146,-0.00661697,1
2.11615,5.4207e-32,0.0058187,26.5319,0.931355,-0.0375852,-0.0073416,1
2.20579,-1.66663e-32,0.00667545,27.6524,0.96888,-0.0388133,-0.00808029,1
2.27965,8.15644e-34,0.0074268,28.5756,1.00202,-0.0396349,-0.00869852,1
2.36727,-6.34199e-34,0.00836048,29.6709,1.04378,-0.0402948,-0.00942962,1
2.45374,-2.24004e-34,0.00931615,30.7517,1.08719,-0.0405938,-0.0101372,1
2.52504,-1.58306e-33,0.0101173,31.643,1.12426,-0.0405253,-0.0106981,1
2.60952,6.18213e-34,0.0110632,32.699,1.16922,-0.0399982,-0.0113196,1
2.69302,-4.50321e-35,0.0122946,33.7428,1.18162,-0.0485175,-0.0121895,1
2.76182,-1.58098e-34,0.0130309,34.6027,1.23374,-0.0461737,-0.0125977,1
2.84344,-6.26563e-36,0.013818,35.623,1.29276,-0.0427863,-0.0129751,1
2.92406,2.58868e-34,0.014474,36.6308,1.34673,-0.0387779,-0.0132164,1
2.9905,-9.02422e-38,0.014904,37.4612,1.3869,-0.0349955,-0.0133067,1
3.06932,2.62197e-36,0.0152599,38.4465,1.42819,-0.0299516,-0.0132746,1
3.14719,-3.38953e-37,0.0154257,39.4199,1.46073,-0.0244245,-0.0130868,1
3.21138,-2.79632e-34,0.0154099,40.2223,1.4803,-0.0195056,-0.012812,1
3.28746,-8.43564e-35,0.0152019,41.1733,1.49367,-0.0133313,-0.0123466,1
3.3501,2.05647e-34,0.0148708,41.9563,1.49579,-0.00802716,-0.0118519,1
3.42447,7.14701e-34,0.0142943,42.8859,1.48681,-0.00160251,-0.011145,1
3.48578,-7.5811e-35,0.0136699,43.6522,1.4694,0.00373765,-0.0104708,1
3.5585,-2.77431e-34,0.0127842,44.5613,1.38493,0.00766008,-0.00959218,1
3.61844,8.0931e-34,0.0119796,45.3105,1.3514,0.0124921,-0.00883961,1
3.67777,9.96231e-37,0.0110997,46.0521,1.30884,0.0170181,-0.00805823,1
3.74816,1.20136e-34,0.00997677,46.9314,1.24633,0.0219239,-0.00710694,0.991717
3.80623,1.71904e-34,0.00900422,47.656,1.18534,0.0255374,-0.0063163,0.976765
3.87426,4.02489e-35,0.00783782,48.505,1.10226,0.0291471,-0.00540154,0.959245
3.92892,3.86032e-33,0.00689466,49.1871,1.02578,0.0314928,-0.00468545,0.94517
3.99195,-1.19054e-34,0.00585392,49.9736,0.926682,0.0333587,-0.00391538,0.92894
4.05241,-2.35393e-35,0.00500961,50.7282,0.836529,0.0344903,-0.00330067,0.91337
4.10036,-1.50275e-34,0.00444162,51.3266,0.745972,0.0341218,-0.00289221,0.901023
4.14667,-3.29138e-36,0.00401482,51.9046,0.655402,0.0330682,-0.0025851,0.889098
4.20008,-7.5589e-34,0.00371089,52.5711,0.548385,0.0309124,-0.00235902,0.875344
4.24296,-1.78675e-35,0.00364186,53.1061,0.462073,0.0284179,-0.00229174,0.864303
4.29223,4.79602e-35,0.00379485,53.721,0.363744,0.0246262,-0.00236061,0.851614
4.33175,2.86821e-36,0.00412155,54.2142,0.287551,0.0208688,-0.00254044,0.841434
4.37716,-7.29424e-35,0.00474553,54.7809,0.204897,0.015768,-0.0028947,0.829734
4.41359,3.31489e-36,0.0054501,55.2354,0.14446,0.0111202,-0.00329704,0.820348
4.45544,4.10953e-35,0.00695048,55.7577,0.080355,-0.00361415,-0.0041652,0.809568
4.489,-1.31655e-36,0.00785702,56.1766,0.0669923,-0.0064959,-0.00467325,0.800917
4.52757,-2.26635e-35,0.00904607,56.6579,0.056991,-0.0100732,-0.00533465,0.790976
4.5585,1.29892e-36,0.0101014,57.0439,0.0538764,-0.0130642,-0.00591655,0.783003
4.59403,6.40644e-35,0.0114228,57.4873,0.0568631,-0.0165673,-0.00663881,0.773842
4.62253,7.75826e-36,0.0125538,57.843,0.0649143,-0.0193547,-0.00725113,0.766494
4.65527,-5.12516e-35,0.0139165,58.2515,0.0810843,-0.0224395,-0.00798173,0.758052
4.68152,-1.75972e-35,0.0150433,58.5792,0.0996377,-0.0247584,-0.00857963,0.751283
4.70672,1.1226e-35,0.0171173,58.8936,-0.122142,-0.054571,-0.00971019,0.744797
4.73574,-1.98659e-36,0.0183243,59.2557,0.0111642,-0.0511032,-0.0103312,0.73732
4.76362,-2.30397e-36,0.0193481,59.6037,0.130568,-0.0474295,-0.0108446,0.730134
4.78593,3.00927e-36,0.0200482,59.882,0.21955,-0.0441677,-0.0111846,0.724387
4.8115,-4.96646e-37,0.020706,60.2012,0.313441,-0.040042,-0.0114902,0.717795
4.83201,-1.97601e-35,0.021124,60.4571,0.380742,-0.0365223,-0.0116724,0.71251
4.85557,2.8588e-35,0.0212088,60.7511,0.516593,-0.024984,-0.0116624,0.706435
4.87445,3.70868e-36,0.0214238,60.9868,0.540133,-0.0224803,-0.011735,0.701564
4.89615,4.6961e-36,0.0216474,61.2575,0.557947,-0.0198034,-0.0118049,0.69597
4.91354,-1.77411e-35,0.0218323,61.4746,0.564921,-0.0179177,-0.0118636,0.691482
4.93352,-2.62135e-36,0.0220768,61.7239,0.565175,-0.0161126,-0.0119479,0.686327
4.94945,-1.32772e-35,0.022315,61.9227,0.559423,-0.015017,-0.0120379,0.682215
4.96482,2.27164e-36,0.0226216,62.1145,0.556204,-0.0150288,-0.0121655,0.678248
4.98252,-3.26347e-35,0.0230063,62.3354,0.544275,-0.0140567,-0.0123285,0.673676
4.99672,4.10248e-36,0.0234088,62.5126,0.529011,-0.0138382,-0.0125085,0.670006
5.01304,-1.14611e-35,0.0239953,62.7162,0.506865,-0.0142122,-0.0127802,0.665787
5.02612,-1.12377e-35,0.0245725,62.8794,0.486565,-0.0150082,-0.0130536,0.662403
5.04113,2.3266e-35,0.0253687,63.0668,0.462104,-0.016459,-0.0134364,0.658517
5.05317,1.22898e-35,0.0261174,63.217,0.442735,-0.0180331,-0.0137999,0.655401
5.06698,2.11001e-35,0.0271056,63.3894,0.422151,-0.0202638,-0.0142831,0.651822
5.07805,-1.02121e-36,0.0276097,63.5276,0.171462,-0.0552527,-0.014517,0.648996
5.09076,-2.2399e-35,0.0284089,63.6861,0.310167,-0.0461194,-0.0148999,0.645696
5.10093,-1.3765e-35,0.0291217,63.8131,0.39445,-0.039996,-0.0152433,0.643048
5.11263,1.28011e-35,0.0300686,63.959,0.464545,-0.034326,-0.0157029,0.639998
5.12194,-5.58948e-36,0.0309623,64.0753,0.5017,-0.0309343,-0.0161402,0.637563
5.13091,-1.35182e-37,0.0320595,64.1872,0.29849,-0.0644778,-0.016683,0.635255
5.14123,-1.00358e-35,0.0331626,64.316,0.47353,-0.050242,-0.0172223,0.632532
5.1495,-2.0768e-35,0.034247,64.4192,0.569284,-0.0411428,-0.017757,0.630338
5.15898,-2.80708e-35,0.0358003,64.5375,0.636177,-0.0332965,-0.0185283,0.627806
5.16656,-1.20253e-35,0.0382289,64.6321,0.308783,-0.0742056,-0.0197561,0.625826
5.17523,-1.17549e-36,0.0401638,64.7403,0.506109,-0.0574332,-0.0207213,0.623474
5.18215,9.69783e-36,0.0420291,64.8267,0.601995,-0.0478607,-0.0216546,0.62158
5.19006,3.78744e-35,0.0445698,64.9254,0.656515,-0.0408587,-0.0229287,0.619396
5.19637,5.87747e-35,0.0469639,65.0041,0.666021,-0.0383093,-0.024131,0.617639
5.20354,-1.26295e-34,0.0501356,65.0936,0.650209,-0.0384759,-0.0257251,0.615629
5.20925,6.30065e-36,0.05299,65.1647,0.62444,-0.0407761,-0.02716,0.614022
5.21572,3.10989e-34,0.0565732,65.2455,0.589212,-0.0453691,-0.0289606,0.612192
5.22084,6.55221e-35,0.0590067,65.3094,0.518892,-0.0671951,-0.0301767,0.610616
5.22661,-6.14078e-35,0.0630062,65.3813,0.597603,-0.0608271,-0.0321865,0.608899
5.23117,-7.14701e-36,0.0664389,65.4382,0.619784,-0.0596307,-0.0339105,0.607543
5.23628,-3.18559e-36,0.0702296,65.5019,0.234495,-0.110209,-0.0358104,0.606031
5.24027,-2.28281e-35,0.0736089,65.5517,0.425791,-0.0969422,-0.0375049,0.604821
5.2447,-4.25529e-36,0.0774683,65.607,0.562197,-0.0879946,-0.039438,0.603493
5.24815,4.31759e-35,0.0804427,65.6501,0.627541,-0.0846051,-0.0409253,0.602482
5.25196,-2.05712e-37,0.0835772,65.6976,0.674416,-0.0834364,-0.0424891,0.6014
5.25489,3.2687e-34,0.0859382,65.7342,0.498163,-0.124621,-0.043665,0.600345
5.25813,1.77265e-35,0.0884141,65.7745,0.727585,-0.103938,-0.0448954,0.599409
5.26061,-1.29075e-34,0.0900218,65.8055,0.832231,-0.0931738,-0.0456902,0.598726
5.26331,5.38376e-36,0.0911983,65.8393,0.941439,-0.0900023,-0.0462635,0.597908
5.26539,2.78169e-34,0.0920456,65.8652,0.996445,-0.0783654,-0.0466749,0.597386
5.26771,-2.46501e-35,0.0925213,65.8941,0.988668,-0.0718211,-0.0468955,0.596863
5.26948,5.01936e-35,0.0924566,65.9162,0.955926,-0.0697722,-0.046847,0.596509
5.27146,1.15198e-35,0.0919338,65.9409,0.656872,-0.094614,-0.0465646,0.596244
5.27306,-1.36828e-35,0.090943,65.9609,0.7207,-0.0878547,-0.0460487,0.595994
5.27484,-5.12516e-36,0.089186,65.9832,0.764184,-0.08231,-0.0451438,0.59575
5.27631,2.6143e-35,0.0873157,66.0015,0.787954,-0.078573,-0.0441848,0.595565
5.27805,-1.07546e-34,0.084399,66.0233,1.02697,-0.0475894,-0.0426948,0.595301
5.27975,-1.38708e-35,0.0813624,66.0445,0.926364,-0.051473,-0.0411454,0.595115
5.28121,1.10144e-35,0.0786236,66.0627,0.868852,-0.0531783,-0.0397494,0.594948
5.28297,-3.22085e-35,0.0750326,66.0847,0.705457,-0.0712862,-0.0379213,0.594764
5.28448,-1.35182e-36,0.0718702,66.1035,0.748717,-0.0661889,-0.0363127,0.594559
5.28634,-1.63629e-35,0.0679655,66.1267,0.797411,-0.0593618,-0.0343277,0.594284
5.28792,-9.92587e-35,0.0646051,66.1465,0.832163,-0.0531613,-0.0326207,0.594034
5.28988,1.35311e-34,0.0605964,66.171,0.860674,-0.0459122,-0.0305853,0.593698
5.29164,2.13235e-35,0.0571943,66.193,0.788989,-0.0522948,-0.0288585,0.593382
5.29378,-4.66906e-35,0.0531537,66.2197,0.845488,-0.0421673,-0.0268089,0.592962
5.29549,-9.5168e-35,0.0498554,66.241,0.873631,-0.0342629,-0.0251372,0.592617
5.29782,-6.19156e-34,0.0460973,66.2701,0.884977,-0.0259194,-0.0232321,0.592115
5.29969,-1.13271e-34,0.042952,66.2934,0.903386,-0.0181629,-0.0216394,0.591706
5.30188,2.74067e-35,0.0396204,66.3208,0.86818,-0.0132508,-0.0199527,0.591215
5.30386,-8.35483e-36,0.0370169,66.3456,0.833636,-0.00960235,-0.0186345,0.590758
5.30612,1.30715e-35,0.0344896,66.3737,0.600526,-0.0342167,-0.0173549,0.590287
5.30802,6.10743e-36,0.0319223,66.3975,0.660261,-0.0249485,-0.0160573,0.589835
