x,y,psi,v,cte,epsi,delta,a
6.15324,0.0756693,0.027537,30.9188,0.0255296,0.0213769,0.00932154,1
6.19769,0.0764173,0.0312079,31.1411,0.0257004,0.0193669,0.0123564,1
6.25018,0.0923679,0.0379318,31.4048,0.0461628,0.0193212,0.0151101,1
6.29297,0.123602,0.0457503,31.6217,0.0799094,0.0220577,0.0159686,1
6.34368,0.152837,0.0537879,31.8789,0.135719,0.0254056,0.0174337,1
6.39417,0.163295,0.0591839,32.1327,0.203491,0.027629,0.0201023,1
6.43547,0.179876,0.0641744,32.3417,0.267678,0.0310315,0.0213273,1
6.48395,0.209594,0.0718412,32.5856,0.2914,0.0178223,0.0224795,0.964828
6.53221,0.224669,0.0739728,32.8202,0.467123,0.0327123,0.0216802,0.870981
6.56888,0.238661,0.0748534,32.9974,0.570993,0.0437297,0.020068,0.800089
6.60247,0.231792,0.0724608,33.153,0.647012,0.0525031,0.0193647,0.737846
6.6227,0.215445,0.071733,33.2438,0.610014,0.035121,0.0215633,0.70171
6.63762,0.208534,0.0678114,33.3112,0.728521,0.0510725,0.0195887,0.674591
6.64438,0.232568,0.067579,33.3464,0.764292,0.0638466,0.0153994,0.660458
6.65045,0.211513,0.06239,33.3704,0.74291,0.0702086,0.0147638,0.6507
6.65463,0.166388,0.0599973,33.3827,0.616652,0.0490102,0.0203703,0.645748
6.65659,0.159581,0.0585021,33.3907,0.632885,0.0598748,0.0203067,0.642278
6.65524,0.220182,0.0652662,33.3935,0.604289,0.0717019,0.0156351,0.641084
6.65722,0.169027,0.0616078,33.3945,0.528643,0.0695268,0.0212222,0.640246
6.65742,0.169034,0.0648117,33.3954,0.46199,0.0695865,0.0237877,0.639582
6.65519,0.229401,0.0766624,33.3946,0.396331,0.0741675,0.0232297,0.639692
6.65376,0.257098,0.0851024,33.3933,0.356322,0.0750076,0.0253771,0.639988
6.65375,0.251058,0.090326,33.3919,0.394009,0.0699462,0.0305678,0.640034
6.6524,0.274231,0.0996767,33.3904,0.415873,0.075941,0.034198,0.640206
6.64643,0.369376,0.120568,33.3872,0.270544,0.054727,0.0350715,0.641688
6.64572,0.369321,0.127269,33.3837,0.445214,0.069875,0.0404484,0.642564
6.64449,0.378691,0.13516,33.3807,0.572432,0.08093,0.045208,0.643351
6.63938,0.436543,0.149069,33.3758,0.697303,0.0948093,0.0466927,0.645137
6.63417,0.487671,0.161186,33.3704,0.646422,0.0680844,0.0478548,0.647674
6.63149,0.503506,0.166438,33.3642,0.935062,0.0981538,0.0494123,0.649769
6.62944,0.515899,0.169942,33.3597,1.07454,0.114183,0.050144,0.651367
6.62685,0.53252,0.1725,33.3546,1.2274,0.12367,0.0494082,0.653372
6.62486,0.540238,0.172871,33.3486,1.28168,0.136888,0.0484072,0.655656
6.62497,0.532266,0.171007,33.3456,1.27539,0.142418,0.0482453,0.656815
6.62537,0.521451,0.168706,33.3429,1.24639,0.142653,0.0482106,0.658001
6.62472,0.519625,0.168611,33.3392,1.09614,0.125891,0.0484368,0.660023
6.62474,0.51925,0.16619,33.3391,1.12724,0.129705,0.0465575,0.660252
6.62351,0.521569,0.162809,33.3344,1.1352,0.131724,0.0434511,0.662475
6.62538,0.501397,0.154681,33.3348,1.26514,0.150677,0.0403104,0.662279
6.62839,0.468047,0.146525,33.336,1.13757,0.13841,0.0393551,0.66215
6.63113,0.434297,0.139324,33.3365,1.05366,0.128445,0.0392302,0.662207
6.63282,0.424108,0.134976,33.341,0.931614,0.10899,0.0374503,0.66095
6.63281,0.422754,0.130557,33.3405,0.931951,0.108113,0.0341301,0.661431
6.63712,0.367925,0.119219,33.3432,0.921041,0.101812,0.0342091,0.66057
6.63806,0.367997,0.114346,33.3477,0.905571,0.101179,0.0302902,0.658976
6.6383,0.36887,0.110118,33.3492,0.819838,0.0904846,0.0267531,0.658715
6.64196,0.326742,0.0992645,33.3545,0.820449,0.0879195,0.0250921,0.65673
6.64584,0.270775,0.0872181,33.3592,0.796395,0.0828295,0.0247796,0.654956
6.64669,0.270823,0.082393,33.3633,0.764268,0.0825504,0.0209042,0.653457
6.64767,0.267498,0.0760287,33.3671,0.726036,0.0821652,0.0163584,0.652044
6.65024,0.225725,0.0670571,33.3709,0.662661,0.0757316,0.0161359,0.650593
