x,y,psi,v,cte,epsi,delta,a
5.87358,0.0510943,0.0156591,29.5191,0.293354,0.0343497,0.00352521,1
5.92095,0.0516538,0.0153578,29.756,0.227113,0.0326473,0.00318094,1
5.97732,0.0328649,0.0134727,30.0371,0.151815,0.0272378,0.00535844,1
6.02366,0.0299683,0.0145799,30.2687,0.0989106,0.0238769,0.00691796,1
6.07844,0.0511103,0.0199772,30.5434,0.0523432,0.0228222,0.00748038,1
6.13251,0.066789,0.0255899,30.8146,0.0350646,0.021121,0.00933599,1
6.17712,0.0729381,0.0297158,31.0381,0.0309255,0.0197236,0.0117333,1
6.22982,0.092099,0.0365645,31.303,0.0451311,0.0199779,0.013993,1
6.27297,0.116856,0.0434535,31.5211,0.0727127,0.0218341,0.0152583,1
6.32413,0.140933,0.0508606,31.7796,0.121544,0.0243134,0.0171236,1
6.3748,0.155378,0.0568195,32.0348,0.184093,0.0266444,0.0195379,1
6.41621,0.175947,0.0623764,32.2448,0.244928,0.030238,0.0205174,1
6.46506,0.202886,0.0684776,32.4935,0.323126,0.0356345,0.0208605,1
6.51371,0.215282,0.0724995,32.7296,0.41668,0.0281711,0.0220691,0.907217
6.55393,0.220755,0.0729582,32.9238,0.532143,0.0385831,0.021559,0.829521
6.59149,0.235414,0.0733724,33.1027,0.624401,0.0500747,0.0194667,0.757966
6.61469,0.231085,0.0743609,33.2096,0.552075,0.0304919,0.0210385,0.715417
6.63311,0.209437,0.0689072,33.2907,0.699391,0.04656,0.0203118,0.682841
6.64184,0.22678,0.0679687,33.3337,0.75443,0.0597717,0.0166726,0.665551
6.64863,0.219247,0.0640174,33.3634,0.752246,0.0687434,0.0147753,0.653553
6.6533,0.180105,0.0621288,33.3785,0.593828,0.0454364,0.0197925,0.647513
6.65611,0.159689,0.0586087,33.3885,0.634235,0.0570228,0.0203739,0.643223
6.65524,0.21393,0.0642242,33.3924,0.617402,0.0694744,0.0158412,0.641562
6.6554,0.220229,0.0658875,33.3941,0.552234,0.0744304,0.0161254,0.640631
6.65732,0.17126,0.0632332,33.3953,0.480059,0.0701508,0.0221526,0.639759
6.655,0.239462,0.075695,33.3956,0.409811,0.0757308,0.0207794,0.639451
6.65478,0.239451,0.0814279,33.3945,0.363138,0.0735532,0.0253733,0.639534
6.65517,0.224607,0.0865989,33.3935,0.383075,0.0642512,0.0319878,0.639455
6.65267,0.274205,0.0990746,33.3917,0.419838,0.0738568,0.03372,0.639821
6.64815,0.345554,0.11417,33.3883,0.452521,0.0836858,0.0339197,0.640944
6.64619,0.364178,0.126508,33.3844,0.418933,0.0641781,0.0406971,0.642416
6.6402,0.439314,0.142618,33.3807,0.597795,0.0858922,0.041062,0.643579
6.6393,0.439232,0.149154,33.3764,0.707866,0.0935118,0.0463118,0.644999
6.63342,0.499574,0.164029,33.3718,0.645415,0.0649313,0.0481432,0.647236
6.63237,0.499464,0.167467,33.3667,0.92252,0.0913671,0.0509155,0.648875
6.62942,0.519028,0.172526,33.3609,1.12003,0.113457,0.0516935,0.650917
6.62568,0.548706,0.176668,33.3562,1.25163,0.11943,0.0500399,0.652898
6.62316,0.556863,0.176562,33.348,1.34747,0.138816,0.0485803,0.655972
6.62443,0.539059,0.173424,33.346,1.34898,0.143888,0.0490462,0.65669
6.62529,0.52332,0.169826,33.3434,1.31406,0.145069,0.0487956,0.657835
6.62388,0.528218,0.168478,33.3388,1.27562,0.145422,0.0468897,0.659865
6.62385,0.525497,0.166733,33.3376,1.17116,0.13251,0.0459439,0.660907
6.62526,0.504986,0.161342,33.3357,1.17074,0.132137,0.0450555,0.661865
6.62609,0.494822,0.155895,33.3355,1.15293,0.131343,0.0423876,0.662242
6.6271,0.485299,0.148516,33.3365,1.19024,0.144497,0.0380625,0.661876
6.62913,0.4566,0.140561,33.3351,1.07232,0.133365,0.0364865,0.662782
6.63334,0.410162,0.132991,33.3386,0.923357,0.109183,0.0381899,0.661799
6.63516,0.393261,0.126402,33.3418,0.913202,0.105822,0.0357335,0.660827
6.63418,0.411613,0.124021,33.3432,0.904609,0.10668,0.0307526,0.660553
6.63692,0.385256,0.115568,33.3476,0.881631,0.102893,0.0283838,0.659026
6.64078,0.331662,0.105414,33.3502,0.850834,0.0959447,0.0291998,0.658096
6.64336,0.306217,0.0982665,33.3558,0.792613,0.0840811,0.0277209,0.656134
6.64447,0.299118,0.0920725,33.3592,0.784389,0.0840029,0.0239407,0.654931
6.64508,0.299156,0.087206,33.3622,0.762274,0.0842107,0.0200336,0.653886
6.6478,0.258434,0.0778435,33.3658,0.743136,0.0809688,0.0193251,0.652505
6.65056,0.216328,0.06828,33.3707,0.677416,0.0741681,0.0186832,0.650616
6.65163,0.208715,0.0636621,33.3745,0.622928,0.0711043,0.0162521,0.649203
6.65266,0.201819,0.0620987,33.3782,0.499531,0.04976,0.0161499,0.64797
6.65434,0.174492,0.0547625,33.3819,0.523568,0.0505761,0.0148251,0.646535
6.6549,0.174513,0.0510563,33.3846,0.521999,0.0525372,0.0118526,0.645488
6.65584,0.160219,0.0458958,33.3871,0.50104,0.0521246,0.0100992,0.644526
6.65732,0.128119,0.0385865,33.3903,0.455827,0.0488213,0.00958893,0.643251
6.65826,0.109181,0.0362321,33.3929,0.310732,0.0338044,0.0108557,0.642254
6.6589,0.103677,0.0332272,33.3954,0.310847,0.0346621,0.00936501,0.641259
6.65899,0.11738,0.0328064,33.3971,0.300173,0.0365604,0.00674785,0.640628
6.65968,0.101271,0.0259409,33.3989,0.275042,0.0434661,0.00392969,0.639895
6.66043,0.0729768,0.02199,33.4004,0.200558,0.0366681,0.00547291,0.639272
6.66114,0.0425033,0.0188497,33.4023,0.127299,0.0286501,0.00802694,0.638482
6.66124,0.0591972,0.0214877,33.4035,0.0856636,0.026437,0.00736302,0.63803
6.66116,0.0796428,0.0250574,33.4042,0.0551662,0.024474,0.00682127,0.63776
6.66129,0.0796449,0.0264243,33.4048,0.0435693,0.0216616,0.00791562,0.637512
6.66151,0.0737875,0.0264724,33.4055,0.241318,0.032413,0.00892835,0.637226
6.66144,0.0856262,0.0288626,33.4059,0.203961,0.0294992,0.00887354,0.637067
6.66135,0.0959888,0.031283,33.4063,0.181246,0.0267394,0.00908845,0.636956
6.6614,0.0959897,0.0322537,33.4065,0.17679,0.0244058,0.00986558,0.636875
6.6614,0.0983151,0.0332913,33.4067,0.183569,0.0230058,0.0103098,0.636812
6.66128,0.106721,0.034721,33.4068,0.202506,0.0227593,0.0100566,0.636781
6.6612,0.111526,0.0352176,33.4069,0.223062,0.0229619,0.00965517,0.636777
6.66127,0.108788,0.0343263,33.407,0.248574,0.0229042,0.00939682,0.636767
6.66137,0.104447,0.0329004,33.407,0.268015,0.0229605,0.00897706,0.636746
6.66302,0.0971425,0.0361262,33.4144,0.17179,0.0011041,0.012775,0.633925
6.66383,0.0971588,0.0339986,33.4183,0.28375,0.00816305,0.0110693,0.632379
6.66,0.138171,0.0349973,33.4037,0.366224,0.018876,0.00504579,0.638151
6.65837,0.119674,0.0277486,33.3938,0.41678,0.0237571,0.00231338,0.642095
6.66012,0.0545642,0.016056,33.3978,0.420836,0.0213708,0.0037829,0.640507
6.66092,0.0250199,0.0132684,33.4009,0.270312,-0.00134674,0.00646504,0.639325
6.66108,0.040915,0.0103027,33.402,0.335312,0.00824466,0.00144599,0.638825
6.66109,0.0699276,0.00687803,33.4034,0.357514,0.0188081,-0.0061219,0.638233
6.66173,0.0156414,-0.004547,33.4045,0.326879,0.0176711,-0.00624254,0.63779
6.66158,-0.0662224,-0.0189754,33.4055,0.249045,0.0117983,-0.00418284,0.637423
6.6617,-0.0675293,-0.0228239,33.4061,0.167088,0.0118121,-0.00704742,0.637185
6.66204,-0.04525,-0.0239389,33.4067,0.053905,0.0126673,-0.0116452,0.637002
6.66179,-0.0762387,-0.029076,33.407,-0.0510594,0.00709475,-0.0106057,0.636885
6.66095,-0.125971,-0.0300201,33.4071,-0.214107,-0.0188584,-0.00309097,0.63678
6.66119,-0.114728,-0.0277263,33.4072,-0.218092,-0.0166247,-0.00312405,0.636762
6.66227,-0.0334393,-0.0173,33.4073,-0.224088,-0.00767838,-0.00829284,0.636734
6.66228,-0.0337973,-0.0155301,33.4074,-0.23712,-0.00759012,-0.00681605,0.636699
6.66165,-0.0897114,-0.0180457,33.4072,-0.253295,-0.0140235,0.000467314,0.636718
6.66185,-0.0737362,-0.00569132,33.4071,-0.411535,-0.0411632,0.00770367,0.636776
6.66231,0.00505556,0.00765772,33.4071,-0.238525,-0.0247007,0.00529136,0.63678
6.66169,0.0833373,0.0191067,33.4069,-0.113562,-0.00976912,0.00144217,0.636835
